questions,answers
hello i am penny i moved here just now,oh penny i am leonard glad to meet you
about,ok do you want us to bring something
ok do you want us to bring something,no just come here
no just come here,ok see you later
ok see you later,bye
oh how dreadful i m ever so sorry,luckily that was nothing serious
luckily that was nothing serious,thank god
i see overdoing it will do more harm than good,you said it
thanks for coming shopping with me,i am so honored that you thought to ask me
i love slim girls don t you,not particularly i like fat girls
not particularly i like fat girls,and i like a girl with good skin do you
yes but i like a girl with a nice personality,but you like a girl to be rich surely
but you like a girl to be rich surely,not particularly i like a girl to be good
